city_name,normalized_city_name,display_query,country,population,reference_date,verified,official_total_available,supported_for_calibrated_inference,feature_generated,feature_source_file,feature_row_count,qa_passed,qa_error_count,qa_warning_count,qa_high_zero_share_feature_count,included_in_training,validated_batch,smoke_passed,saved_inference_example,district_benchmark_reference_available,district_benchmark_completed,district_benchmark_quality,district_benchmark_reference_row_count,district_benchmark_district_count_total,district_benchmark_district_count_compared,district_benchmark_boundary_warning_count,district_benchmark_metrics_file,recommended_for_baseline_use,status_label
Almaty,almaty,"Almaty, Kazakhstan",Kazakhstan,2351424,2026-02-01,True,True,True,True,almaty.csv,3078,True,0,0,0,True,True,False,True,True,True,partial,8,8,6,0,reports\district_benchmark_v2\almaty\district_benchmark_metrics.csv,True,validated_partial_district_benchmark
Astana,astana,"Astana, Kazakhstan",Kazakhstan,1649242,2026-02-01,True,True,True,True,astana.csv,3473,True,0,0,0,True,True,False,True,True,True,partial,6,5,5,1,reports\district_benchmark_v2\astana\district_benchmark_metrics.csv,True,validated_partial_district_benchmark
Petropavlovsk,petropavlovsk,"Petropavlovsk, Kazakhstan",Kazakhstan,222039,2026-02-01,True,True,True,True,petropavlovsk.csv,980,True,0,1,1,True,True,False,True,False,False,none,0,0,0,0,,True,validated_batch
Semey,semey,"Semey, Kazakhstan",Kazakhstan,315382,2026-02-01,True,True,True,True,semey.csv,1033,True,0,1,1,True,True,True,True,False,False,none,0,0,0,0,,True,validated_smoke_passed
Shymkent,shymkent,"Shymkent, Kazakhstan",Kazakhstan,1298279,2026-02-01,True,True,True,True,shymkent.csv,4939,True,0,4,4,True,True,False,True,True,True,partial,5,4,3,1,reports\district_benchmark_v2\shymkent\district_benchmark_metrics.csv,True,validated_partial_district_benchmark
Taraz,taraz,"Taraz, Kazakhstan",Kazakhstan,488133,2026-02-01,True,True,True,True,taraz.csv,1386,True,0,3,3,True,True,False,True,False,False,none,0,0,0,0,,True,validated_batch
Uralsk,uralsk,"Uralsk, Kazakhstan",Kazakhstan,372742,2026-02-01,True,True,True,True,uralsk.csv,380,True,0,0,0,True,True,False,True,False,False,none,0,0,0,0,,True,validated_batch
Ust Kamenogorsk,ust kamenogorsk,"Ust Kamenogorsk, Kazakhstan",Kazakhstan,380829,2026-02-01,True,True,True,True,ust_kamenogorsk.csv,863,True,0,0,0,True,True,False,True,False,False,none,0,0,0,0,,True,validated_batch
Kurchatov,kurchatov,"Kurchatov, Kazakhstan",Kazakhstan,9822,2026-02-01,True,True,True,False,,0,False,0,0,0,False,False,False,True,False,False,none,0,0,0,0,,False,calibrated_runtime_only
Ridder,ridder,"Ridder, Kazakhstan",Kazakhstan,50022,2026-02-01,True,True,True,False,,0,False,0,0,0,False,False,False,False,False,False,none,0,0,0,0,,False,official_total_only
